שם,קטגוריה,תת-קטגוריה,אזור,גילאים,הקשר/ציטוט,מקור,טלפון_להוספה,אתר_להוספה
"איתי צוקרמן","טיפולים ומטפלים","מטפל / מדריך הורים","","6-13","איתי צוקרמן טיפל בבן שלי, נהדר עם בנים וגם בהדרכה הורית, ליווה אותנו 5 שנים. היה מוכן להגיע לבית ספר","m:868","",""
"אלוין — בית חולים לילדים נכים","טיפולים ומטפלים","מכון רפואת שיניים לילדים עם מוגבלויות","ירושלים","12+","עד גיל 12 מטפלים מקסים בבית ספר לרפואת שיניים בהדסה עין כרם ואחרי גיל 12 גם נותנים טיפול טוב באלוין","m:9868","",""
"אליענה קופר — מטפלת בטיפול רגשי באומנות","טיפולים ומטפלים","טיפול באמצעות אומנות","ישראל","","משהי הייתה בטיפול רגשי באומנות אצל אליענה קופר ויכולה להמליץ לנו?","m:26508","",""
"בית חולים וולפסון – אשפוז יום לפעוטות","טיפולים ומטפלים","אשפוז יום","וולפסון","פעוטות","נפתח מערך אשפוז יום לפעוטות עם קשיי אכילה והאכלה שנפתח ממש בשבוע שעבר בבית חולים וולפסון.","chunk_011 m:39865","",""
"בית חולים שערי צדק — מחלקה פסיכיאטרית","טיפולים ומטפלים","מחלקה פסיכיאטרית בבית חולים","ירושלים — שערי צדק","","היה מנהל המחלקה הפסיכיאטרית בשערי צדק, פרש ומקבל באופן פרטי בקליניקה שלו בבית שמש","chunk_018:j:10403","",""
"בת ציון חירם — מטפלת","טיפולים ומטפלים","טיפול רגשי","יפה נוף, ירושלים","נוער","קיבלתי המלצה על מטפלת בשם בת ציון חירם. מקבלת ביפה נוף.","m:26398","",""
"ד""י ציפורה סקלאר - נוירולוגית ילדים","טיפולים ומטפלים","נוירולוגית ילדים","ירושלים","ילדים","למישהו יש נסיון עם הנוירולוגיות ילדים הבאות: ד""ר ציפורה סקלאר, ד""ר ירון דגני, פרופ' יהודה שפירא, ד""ר טל גלבוע לנושא הקשב וריכוז בילדי תקשורת?","chunk_013:m46002","",""
"ד""ר אודיה בנט – נוירולוגית","טיפולים ומטפלים","נוירולוגיה","מבשרת / כנפי נשרים, ירושלים","ילדים","שמעתן על נוירו בשם דר אודיה בנט? מקבלת במבשרת? לא היינו אצלה אבל לדעתי בעבר היתה מקבלת בהתפתחות הילד בכנפי נשרים.","chunk_012 m:42953","",""
"ד""ר אומנסקי — פסיכיאטרית","טיפולים ומטפלים","פסיכיאטריה","ישראל (קופת מאוחדת)","ילדים עד גיל 18","לגבי פסיכיאטרית ממש ממליצה לך על ד״ר אומנסקי והיא מקבלת עד גיל 18 אז זה מתאים.","m:30254","",""
"ד""ר אוריה צחור (פסיכולוג)","טיפולים ומטפלים","פסיכולוג","","all","ממליצה מאוד גם על ד""ר אוריה צחור פסיכולוג","m:15017","",""
"ד""ר אורנה ורדי","טיפולים ומטפלים","רופאה","מודיעין","all","ד""ר אורנה ורדי במודיעין. אולי שווה לבדוק באפי גם","m:7680","",""
"ד""ר אילת מימרן","טיפולים ומטפלים","פסיכולוגית לילדי גן","גבעת זאב","3-12","אילת מימרן היתה נהדרת בהדרכה הורית, לוותה אותנו 3 שנים... איילת פסיכולוגית ונהדרת. מקבלת בגבעת זאב... איילת מיימרן מדהימה להדרכת הורים לילדי גן","m:868","",""
"ד""ר איתי ברגר – נוירולוג","טיפולים ומטפלים","נוירולוגיה","ישראל","ילדים","ד""ר איתי ברגר לא יתן טיפול בסטימולנטים לילד על הרצף. הוא לא מתאים לשילוב של ASD+ADHD.","chunk_012 m:42947","",""
"ד""ר אסתר יפה","טיפולים ומטפלים","רופאה בכללית רמת אשכול","ירושלים, כללית רמת אשכול","all","בכללית רמת אשכול יש כמה מעולים.. מבחינת רופאה ולא רופא יש גם את ד״ר אסתר יפה... מקצועית מאוד אבל לא הייתי אומרת לבבית","m:7603","",""
"ד""ר באומן","טיפולים ומטפלים","רופאת נשים לנשים עם צרכים מיוחדים","","12+","ד""ר באומן מדהימה... ד""ר באומן באמת כזאת. אם אני זוכרת נכון, בעבר היא עבדה בארה""ב בקליניקה לנשים עם צרכים מיוחדים","m:7606","",""
"ד""ר בלס — פסיכיאטר","טיפולים ומטפלים","פסיכיאטריה","ישראל","","שילמתי לפגישה עם פסיכיאטר (ד״ר בלס) לפני חודש 1600 שח.","m:29076","",""
"ד""ר ברגר (סטרטרה)","טיפולים ומטפלים","רופא פרטי לטיפול בתרופות","","all","ניסינו פרטי אצל ד""ר ברגר, שנתן סטרטרה שלא עזרה, ולא רוצה לטפל יותר","m:1514","",""
"ד""ר ברוך קושניר","טיפולים ומטפלים","נפרולוגיה / רפואת שתן","ישראל","ילדים","אפשר להתייעץ בטלפון עם דר ברוך קושניר. לא לסבול.","chunk_011 m:40276","",""
"ד""ר גלעד הר-ציון","טיפולים ומטפלים","רופא שיניים","רחוב אלפסי, ירושלים","כל הגילאים","ד""ר גלעד הר-ציון, מקבל ברחוב אלפסי.","m:22464","",""
"ד""ר גרניט – פסיכיאטר","טיפולים ומטפלים","פסיכיאטריה","ירושלים","ילדים ונוער","אנחנו מטפלים אצלו כשהרופאה דר סימון לא מצליחה לקבל, ומרוצים ממנו. הוא מקבל בזמן בול, איש מבוגר ומעניין","chunk_011 m:38853","",""
"ד""ר דוד בלס","טיפולים ומטפלים","פסיכיאטר","ירושלים","","ממליצה מאוד גם על ד""ר דוד בלס. מוכרים במאוחדת ויש החזרים של 85%.","m:22317","",""
"ד""ר דינה מוסטבוי — רופאת עיניים","טיפולים ומטפלים","רפואת עיניים לאוכלוסיות מיוחדות","ישראל","ילדים ומתבגרים","מרפאת העיניים של ד""ר דינה מוסטבוי המתמחה בילדים עם צרכים מיוחדים. יוזמת פיילוט של הגעת רופאי עיניים מיומנים למסגרות חינוך המיוחד.","m:28895","",""
"ד""ר דנה דניאל הורביץ","טיפולים ומטפלים","מומחית","לא מפורט","לא מפורט","קישור לסדנת הזום עם ד""ר דנה דניאל הורביץ בנושא הזדמנויות ואתגרים בשימוש בטלפון הנייד.","chunk_020:j17919","",""
"ד""ר דנילביץ – פסיכיאטר","טיפולים ומטפלים","פסיכיאטריה","ירושלים","ילדים ונוער","האם מישהי מכירה את הפסיכיאטר דר דנילביץ מירושלים?","chunk_011 m:40262","",""
"ד""ר הארי הירש — אנדוקרינולוג ילדים","טיפולים ומטפלים","אנדוקרינולוגיה ילדים","ישראל","ילדים","אנחנו היינו אצל ד""ר הארי הירש. מקבל דרך מאוחדת ועוד קופות","chunk_009:m33551","",""
"ד""ר הורנרייך – רופאת נשים","טיפולים ומטפלים","רופאת נשים","ירושלים (קופ""ח מאוחדת)","מתבגרות","כנ""ל ד""ר הורנרייך","chunk_011 m:39384","",""
"ד""ר הראל תמר — רופאת עיניים","טיפולים ומטפלים","רפואת עיניים","מעלה אדומים, צ'ארלס קלור","","דר הראל תמר במעלה אדומים ובצארלס לוץ.","m:29667","",""
"ד""ר זאוי / זאווי","טיפולים ומטפלים","רופאה של גן תקשורת, תחנת החי""ש","ירושלים, תחנת החי""ש","3-12","הרופאה שם ד""ר זאוי לא מבוגרת כל כך, ונחמדה מאוד... דר זאווי מצוינת... היא יכולה לעשות תצפית ולא ממהרת להמליץ על ריטלין","m:711","",""
"ד""ר חנה בירמנס","טיפולים ומטפלים","נוירולוגית (לא ילדים)","ירושלים","18+","ד""ר חנה בירמנס מקסימה (עבדה במרפאת סטודנטים לפני עשרים וכמה שנים)... ד""ר בירמנס מעולה וגם נעימה","m:10312","",""
"ד""ר יואל כהן — שיניים בהרדמה כללית","טיפולים ומטפלים","רפואת שיניים","הר הצופים, ירושלים","ילדים","קבעתי לבית חולים הר הצופים אצל ד""ר יואל כהן… פרטי… זה היה תור ממש זריז (משהו כמו שבועיים לחכות)","chunk_009:m33951","",""
"ד""ר לינדה הראל","טיפולים ומטפלים","רופאת נשים","בני ברק, קופת חולים כללית קרית אונו","12+","ד""ר לינדה הראל, מ״מ מנהל אגף נשים ויולדות- מרכז רפואי מעייני הישועה... ד""ר הראל מקבלת פרטי בקרית אונו ובמרפאת אלעד בן יאיר בקופח כללית. היא סגנית מנהלת מחלקת נשים במעייני הישועה","m:1269","",""
"ד""ר מוטי גיני","טיפולים ומטפלים","פסיכולוג — חשוד בפגיעה מינית","","all","לגבי פסיכולוג בשם מוטי גיני, שפגע מינית בילדים אוטיסטים","m:8161","",""
"ד""ר מורן נתיב – נוירולוג","טיפולים ומטפלים","נוירולוגיה","ישראל","ילדים","אשמח להמלצה או דיס לנוירולוג... ואם מישהו יודע היכן מקבלים פרופ איתי ברגר, דר מורן נתיב","chunk_012 m:42941","",""
"ד""ר מרווה ברגמן – רופאת נשים","טיפולים ומטפלים","רופאת נשים","ירושלים (קופ""ח מאוחדת)","מתבגרות","יש את ד""ר מרווה ברגמן. מאד עדינה ומנעימה תבדקי אם היא מקבלת. במאוחדת","chunk_011 m:39383","",""
"ד""ר נועה נבות","טיפולים ומטפלים","פסיכולוגית, מומחית באוטיזם בבנות","","all","כזו מהממת ד״ר נבות, עזרה לבתי המון בתחילת הדרך... ד""ר נועה נבות מאירה את עינינו בנושא [אוטיזם בבנות]","m:351","",""
"ד""ר נעמי ניימן","טיפולים ומטפלים","מטפלת / פסיכיאטרית","לא צוין","לא צוין","אמא שביקשה להשאר בעילום שם מבקשת המלצות/דיס המלצות על ד""ר נעמי ניימן.","chunk_021:j:23162","",""
"ד""ר סול יברובסקי","טיפולים ומטפלים","פסיכיאטר","ירושלים","","תנסי את ד""ר סול יברובסקי, אשלח לך את המספר שלו.","m:22393","",""
"ד""ר עדינה יוסף","טיפולים ומטפלים","פסיכיאטרית/נוירולוגית ילדים","מאוחדת ירושלים","6-18","עדינה יוסף נהדרת. מקבלת במאוחדת... נוער במסגרת מאוחדת... היא עונה במייל למי שמטופל אצלה. וזה מעלה מאוד את הזמינות","m:6764","",""
"ד""ר ערן פיקהולץ - פסיכיאטר ילדים","טיפולים ומטפלים","פסיכיאטר ילדים","מבשרת ציון (בריאותה)","ילדים","ד""ר ערן פיקהולץ מקבל בבריאותה במבשרת","chunk_013:m45557","",""
"ד""ר פינק - פסיכיאטר ילדים לאומית","טיפולים ומטפלים","פסיכיאטר ילדים","טרומפלדור, ירושלים","ילדים","היה לנו טוב עם ד""ר פינק בקופת חולים לאומית בטרומפלדור","chunk_014:m49205","",""
"ד""ר צפריר — מבשרת","טיפולים ומטפלים","פסיכיאטר","מבשרת ציון","","דר צפריר ומבשרת","chunk_017:j:6516","",""
"ד""ר קין בנימין","טיפולים ומטפלים","פסיכיאטר ילדים — מכבי","מכבי","6-18","אם את במכבי תנסי את בנימין קין. הוא גם פסיכיאטר וגם מאבחן קשב וריכוז... אנו מאד מרוצים מד""ר קין במכבי","m:13993","",""
"ד""ר קין — פסיכיאטר ילדים","טיפולים ומטפלים","פסיכיאטריה","פסגת זאב ובית שמש (מכבי)","ילדים עד גיל 18","במכבי יש פסיכיאטר מעולה עד גיל 18, ד""ר קין. מקבל בפסגת זאב ובבית שמש. לוקח זמן לקבוע תור אבל שווה לחכות. הוא הכי טוב שפגשתי.","m:29055","",""
"ד""ר קלבנוב — פסיכיאטרית","טיפולים ומטפלים","פסיכיאטריה","ישראל (קופת מאוחדת)","","יש לנו את דר קלבנוב מקסימה.","m:29300","",""
"ד""ר קרמן (שם לא ברור)","טיפולים ומטפלים","רופא (נראה גסטרו/ילדים)","","all","ואני אפנה חד""ר וילשנסקי [בהקשר עצירות וכאבים]","m:3257","",""
"ד""ר קרן רבקין נודלמן","טיפולים ומטפלים","פסיכולוגית שיקומית","ירושלים","ילדים ונוער","ד""ר קרן רבקין נודלמן פסיכולוגית שיקומית. מדריכת רכזות טיפול בגני אלו""ט.","m:23699","",""
"ד""ר רגב — שערי צדק","טיפולים ומטפלים","רופא שיניים / כירורג פה","שערי צדק, ירושלים","ילדים ומבוגרים","בתי עברה עקירת 4 שיני בינה בהרדמה כללית בשערי צדק על ידי ד""ר רגב. אין מילים לתאר את החוויה הטובה.","m:18450","",""
"ד""ר רקפת לוין גונן","טיפולים ומטפלים","עובדת סוציאלית / חוקרת","ישראל","הורים + ילדים","עדי גינאינסקי ועו""ס ד""ר רקפת לוין גונן — מחכים לכם עם הקפה.","m:25717","",""
"ד""ר שלמה קסטן","טיפולים ומטפלים","פסיכיאטר","","all","מישהי בקבוצה מכירה פסיכיאטר בשם ד""ר שלמה קסטן?","m:15233","",""
"דיאטנית רננה גודמן – מאוחדת","טיפולים ומטפלים","דיאטנית","לא מפורט","לא מפורט","יש את הדיאטנית רננה גודמן במאוחדת. ממליצה עליה, לצערי רק במאוחדת.","chunk_020:j18227","",""
"הדס סיוון לב — פסיכולוגית","טיפולים ומטפלים","פסיכולוגיה קלינית","ישראל","","האם מישהי מכירה, יש לה ניסיון עם הפסיכולוגיות נטע וגנר, הדס סיוון לב ועדי שאנן?","m:25977","",""
"הדסה — מרפאות חוץ","טיפולים ומטפלים","בית חולים","ירושלים — כניסה מדייווידסון","כל הגילאים","כשמבקרים במרפאות חוץ יש להחתים במזכירות המרפאה טופס אישור על ביקור במרפאה. עם זה ניגשים למודיעין במבואה הראשית... נותן שובר הנחה לחניה","chunk_023 j:29737","",""
"הילה נויפלד","טיפולים ומטפלים","מרפאה בעיסוק — שיטת DIR","ירושלים","6-18","אנחנו מרוצים מאוד עם מרפאה בעיסוק הילה נויפלד, מטפלת בבת שלי מכיתה ד' עד עכשיו - כיתה ט'. מכירה בנות היטב. מטפלת בשיטת DIR","m:6165","",""
"הילה שושני","טיפולים ומטפלים","מטפלת רגשית בתנועה","ירושלים, בית הכרם","all","יש גם מטפלת רגשית בתנועה נהדרת בשם הילה שושני. בבית הכרם, ממש מול התחנה של הרכבת הקלה","m:17084","",""
"טובלה קירשנבוים — פסיכולוגית","טיפולים ומטפלים","פסיכולוגיה קלינית","ישראל","","האם מישהי בקבוצה מכירה את הפסיכולוגית טובלה קירשנבוים?","m:26343","",""
"יהודית וייס","טיפולים ומטפלים","מטפלת","","all","הבת הגדולה שגם היא בתפקוד גבוה הולכת ל *יהודית וייס* הנהדרת","m:1873","",""
"יואב סידר","טיפולים ומטפלים","עוסק סוציאלי קליני מטפל מיני","מקוון (זום)","18+","הרצאה בנושא: מיניות בקרב אנשים בוגרים בעלי צרכים מיוחדים, עו""ס קליני מטפל מיני: יואב סידר.","chunk_021:j:22298","",""
"יעל להמן","טיפולים ומטפלים","מנחת קבוצות הורים","מרכז משפחה אלוט ירושלים","all","יש דרך אלו״ט. השנה היינו בקבוצה שהנחתה יעל להמן והיא עזרה מאוד... יעל להמן פותחת קבוצת תמיכה להורים לבנות על הרצף","m:664","",""
"יערה גרינשטיין","טיפולים ומטפלים","קלינאית תקשורת מדריכה","ירושלים","all","יערה גרינשטיין זאת הקלינאית תקשורת הכי טובה מכל מי שפגשתי בתחום ב15 שנים האחרונות... מדריכה מדהימה, קלינאית תקשורת בהכשרה ואחראית על ההדרכות במשרד החינוך של ילדים משולבים","m:6352","",""
"מאירה ברנע","טיפולים ומטפלים","מנחת סדנאות ילדים בזום","זום","6-13","אני ממליצה על מאירה ברנע, שעושה סדנאות ילדים בזום. הבת שלי (סה״כ בת 10) סיימה סדנה איתה ומיד ביקשה להרשם לסדנת המשך. יש לה גישה נהדרת לילדים","m:6875","",""
"מוריה צנירו — תזונאית","טיפולים ומטפלים","תזונאית קלינית","ירושלים / קרית ארבע","ילדים ומתבגרים","אנחנו ראינו את מוריה צנירו, מקבלת מאוחדת ירושלים / קרית ארבע. ממש הבינה את הבת שלנו.","m:23046","",""
"מיכל פוקס — מטפלת","טיפולים ומטפלים","מטפלת (לא הוגדר סוג)","ירושלים","בוגרות (25+)","אשמח לשמוע בפרטי קצת מידע על מיכל פוקס מטפלת. איך היא, לטוב ולפחות טוב","chunk_015:m:52704","",""
"מכון אלפא בריין - נוירופידבק","טיפולים ומטפלים","טיפול נוירו-פידבק","ישראל","ילדים ומבוגרים","יש כאן למישהי ניסיון עם טיפול ניורו פידבק של מכון אלפא בריין? לא עזר בכלל לקשב, הוריד מעט חרדות לזמן מה. ביחס להשקעה - זה לא שווה בעיניי","chunk_013:m45282-m45298","",""
"מכון סאמיט","טיפולים ומטפלים","שיקום נפשי","לא צוין","בוגרים","ריטה קוטק עובדת סוציאלית קלינית בעלת נסיון עשיר בתחום השיקום (מכון סאמיט) ובטיפול פרטני (מכון טל)","chunk_024 j:35455","",""
"מכון קאסל","טיפולים ומטפלים","מכון לטיפול נפשי","ירושלים","לא צוין","עמך עושים טיפול נפשי בחינם דרך כל הקופה. גם מכון קאסל.","chunk_021:j:23040","",""
"מרכז SocialMind / ד""ר קרן שגיב פרידגוט","טיפולים ומטפלים","מרכז טיפול PRT (Pivotal Response Treatment)","","3-12","מפגש עם ד״ר קרן שגיב פרידגוט וצוות SocialMind. קרן- רופאת ילדים מומחית מוסמכת PRT- Pivotal Response Treatment, ואמא לשני ילדים עם אוטיזם","m:4693","",""
"מרכז בריאות הנפש מעלה אדומים","טיפולים ומטפלים","מרפאת בריאות נפש","מעלה אדומים","ילדים ומבוגרים","תתקשרי למרכז בריאות הנפש במעלה אדומים","chunk_013:m45151","",""
"מרכז לחינוך מיני - שק""ל","טיפולים ומטפלים","חינוך מיני לאנשים עם מוגבלות","ירושלים","18+","מרכז לחינוך מיני – ליווי והדרכה בתחום.","chunk_022:j:26780","",""
"מרכז רפואי מעייני הישועה — אגף נשים","טיפולים ומטפלים","אגף נשים ויולדות — בית חולים","בני ברק","12+","מ""מ מנהל אגף נשים ויולדות- מרכז רפואי מעייני הישועה","m:5050","",""
"מרפאה בעיסוק נעמי צמרת","טיפולים ומטפלים","ריפוי בעיסוק","ירושלים","ילדים","האם מישהי מכירה את המרפאה בעיסוק נעמי צמרת? ומי יכולה להמליץ על מרפאה בעיסוק שעובדת בשיטת ה-DIR","chunk_009:m33634","",""
"מרפאת 'להתבגר יחד' — המכון להתפתחות הילד בשיבא","טיפולים ומטפלים","מרפאת מתבגרים","שיבא, תל השומר","מתבגרים","מרים דלה טורה, פסיכולוגית שיקומית מומחית, מנהלת מרפאת 'להתבגר יחד', למתבגרים על הרצף האוטיסטי, המכון להתפתחות הילד בשיבא.","m:22888","",""
"מרפאת DVI — מקור חיים","טיפולים ומטפלים","רפואת שיניים לאנשים עם מוגבלויות","מקור חיים, ירושלים","ילדים עד גיל 26, דרגת זכאות א","יש מרפאה מיוחדת במקור חיים. נקראית DVI. אפשר לבקש הפניה מהעוס. מיועד לילדים וצעירים עד גיל 26 בדרגת זכאות א.","m:25639","",""
"מרפאת גסטרו לאוטיסטים (אג""ס)","טיפולים ומטפלים","מרפאה מיוחדת","לא צוין","לא צוין","יש מרפאת גסטרו לאוטיסטים (אג""ס), לא יודעת אם גם מטפלים בזה","chunk_015:m:53052","",""
"מרפאת הפרעות אכילה — הדסה","טיפולים ומטפלים","מרפאה","הדסה, ירושלים","נוער ובוגרים","בהדסה יש מרפאה שנחשבת טובה","chunk_015:m:53307","",""
"מרפאת הפרעות אכילה — שערי צדק","טיפולים ומטפלים","מרפאה","שערי צדק, ירושלים","נוער ובוגרים","יש מרפאה בשערי צדק, מכירות?","chunk_015:m:53295","",""
"מרפאת מאוחדת - בריאות הנפש אגריפס","טיפולים ומטפלים","מרפאת בריאות נפש","אגריפס, ירושלים","ילדים ומבוגרים","היינס - דרך מאוחדת בריאות הנפש אגריפס","chunk_013:m45018","",""
"מרפאת מאוחדת גילה","טיפולים ומטפלים","מרפאת פסיכיאטרית","גילה, ירושלים","ילדים","לרנר - מקבל במרפאת מאוחדת גילה","chunk_013:m45018","",""
"מרפאת מתבגרות – שערי צדק","טיפולים ומטפלים","רפואת מתבגרות","שערי צדק, ירושלים","מתבגרות","יש מרפאת מתבגרות גם בשערי צדק אני הייתי עם הבת שלי על הרצף","chunk_011 m:39381","",""
"מרפאת שיניים אלווין - קרית יובל","טיפולים ומטפלים","מרפאת שיניים לצרכים מיוחדים","קרית יובל, ירושלים","ילדים ומבוגרים","הילד שלי כבר כמה שנים מטופל במרפאת שיניים של אלווין בקריית יובל. זו מרפאה מעולה... לא צריך לעבור דרך הרווחה כדי להגיע לשם","chunk_014:m49772","",""
"נורית נתיבי - קלינאית תקשורת","טיפולים ומטפלים","קלינאית תקשורת","תלפיות, ירושלים","ילדים","ממליצה על נורית נתיבי שעובדת גם בתלפיות ועם מאוחדת","chunk_013:m45015","",""
"נורית נתיבי שיינין","טיפולים ומטפלים","קלינאית תקשורת","","all","עכשיו מטופלים אצל נורית נתיבי שיינין, בעיקר בנושא הגייה. מרוצים ממנה","m:15651","",""
"נטע וגנר — פסיכולוגית","טיפולים ומטפלים","פסיכולוגיה קלינית","ישראל","","האם מישהי מכירה, יש לה ניסיון עם הפסיכולוגיות נטע וגנר, הדס סיוון לב ועדי שאנן?","m:25977","",""
"סבא ג'ק — רכיבה טיפולית / בע""ח","טיפולים ומטפלים","רכיבה טיפולית / טיפול בבעלי חיים","ישראל (לא צוין מיקום מדויק)","ילדים","ממליצה על סבא ג'ק. ספציפית היינו אצל טליה בסבא ג'ק והיא מעולה","chunk_010:m36777","",""
"עדי שאנן — פסיכולוגית","טיפולים ומטפלים","פסיכולוגיה קלינית","ישראל","","האם מישהי מכירה, יש לה ניסיון עם הפסיכולוגיות נטע וגנר, הדס סיוון לב ועדי שאנן?","m:25977","",""
"עמותת אגס — מרפאת גסטרו ספציפית","טיפולים ומטפלים","ארגון בריאות","ישראל","ילדים","יש מרפאת גסטרו לאוטיסטים (אג""ס)","chunk_015:m:53052","",""
"עמי לביא","טיפולים ומטפלים","עובד סוציאלי","","all","עמי לביא שמעתי הקצאות שלו - הוא עובד סוציאלי - ולא אהבתי. חוויתי את הגישה שלו כלא רואה באנשים על הרצף ממש שווי ערך לעצמו","m:6957","",""
"ענת אראל","טיפולים ומטפלים","מטפלת","לא צוין","לא צוין","ממליצה מאוד על ענת אראל.","chunk_021:j:22345","",""
"פרויקט 'קומי אורי' — טיפול מוזל לנפגעות תקיפה מינית","טיפולים ומטפלים","טיפול נפשי מסובסד","ירושלים","נשים","פרויקט 'קומי אורי' — טיפול פרטני מוזל בעלות מוזלת. עלות הטיפול היא עד 180 ש""ח לפגישה. Kumiory2626@gmail.com","m:18993","",""
"פרופ' דוד צנגן","טיפולים ומטפלים","פסיכיאטר","ירושלים","ילדים ומתבגרים","או אם צריך פרופסור — דוד צנגן. שניהם טיפלו בנו נהדר שנים.","m:23004, m:22999","",""
"פרופ' יהודה שפירא - נוירולוג","טיפולים ומטפלים","נוירולוג ילדים","ירושלים","ילדים ונוער","בקופה הציעו את פרופ' יהודה שפירא. מה דעתכן?","chunk_013:m45812","",""
"פרופ' צדיק — רשל""צ","טיפולים ומטפלים","פסיכיאטר","ראשון לציון","","אנחנו הלכנו לפרופ' צדיק ברשל""צ, אבל כבר לפני עשור סיימנו אצלו.","m:22981","",""
"פרופ' צנגן — הדסה","טיפולים ומטפלים","אנדוקרינולוגיה ילדים","הדסה, ירושלים","ילדים","אנחנו מטופלים אצל פר צנגן בהדסה, מקצועי מאוד. ממליצה בחום","chunk_009:m33529","",""
"פרופ' רולידר","טיפולים ומטפלים","איש טיפול / מחקר ABA","","all","לי תודה על הסרט על פרופ' רולידר. אני בהלם!","m:8178","",""
"פרופסור ווטמברג - נוירולוג","טיפולים ומטפלים","נוירולוג","כפר סבא","ילדים ומבוגרים","פרופסור ווטמברג מכפר סבא מאוד נחשב","chunk_013:m45817","",""
"רומן מלמד — MRI ללא הרדמה לילדים, איכילוב","טיפולים ומטפלים","רדיולוג / מכון MRI","בית חולים איכילוב, תל אביב","ילדים","צוות מדהים בהובלת רומן מלמד שלקחו על עצמם את המשימה לעשות MRI לילדים ותינוקות בלי צורך בהרדמה. תוך כמה דקות קיבלתי ממנו תמונה של זימון תור.","m:19480","",""
"שירה בהריר","טיפולים ומטפלים","קלינאית תקשורת","","3-6","שירה בהריר, טיפלה בבת שלי בשנות החיים הראשונות, הכניסה לחיינו את התת״ח שעזר לה","m:15651","",""
"שרון פיקר – דיאטיקנית לרצף","טיפולים ומטפלים","דיאטנית","תל אביב","לא מפורט","האם מישהו מכיר ויכול לחבר אותי להורי בוגרי תקשורת בתל אביב?","chunk_020:j18840","",""
"תל""ם — קופות החולים","טיפולים ומטפלים","בריאות נפש","ארצי","כל הגילאים","יש את תל""ם לקופות החולים עם התחייבות והפניית רופא","chunk_024 j:31069","",""
"פרופ' קורי שולמן","אבחון והערכה","ראש המרכז לאוטיזם / אוניברסיטה העברית / מחקר ואקדמיה / חוקר ומאבחן אוטיזם / חוקרת / מטפלת בתחום אוטיזם / מחקר ואבחון","ירושלים / האוניברסיטה העברית / ישראל / ירושלים (האוניברסיטה העברית)","all / מגוון / ילדים ומבוגרים / לא צוין / 6-12 / בנות","פרופ' קורי שולמן, ראש המרכז לאוטיזם, האוניברסיטה העברית... קורי שולמן אמרה לי שהיא סומכת על אורית יפה... ד״ר שולמן זיהתה את הלקות תקשורת בדקות","m:5095","",""
"ד""ר דניאל מאיר","אבחון והערכה","פסיכיאטר / פסיכיאטריה / פסיכיאטר לתיקוף אוטיזם","ירושלים / ירושלים (שערי צדק + פרטי) / לא צוין","16+ / בנות על הרצף / בגיל 18 / 18+ / בוגרים / מתבגרים / בוגרים צעירים","יעל להמן המליצה לי לצורך דו""ח תפקודי ללישכת גיוס על הפסיכיאטר ד""ר דניאל מאיר... ד״ר דניאל מאיר רופא מקצועי ונפלא!","m:9744","",""
"ד""ר אסף כספי (תל אביב)","אבחון והערכה","מאבחן / פסיכיאטר לאבחון אוטיזם בבוגרים","תל אביב / ישראל","all / 18+","יעל להמן הציעה לי את ד""ר אסף כספי בתל אביב. מישהי מכירה? לא נראה לי שהוא מומחה לאוטיזם","m:17405","",""
"ד""ר נורית פלזנטל ברגר","אבחון והערכה","מאבחנת / פסיכולוגית","ירושלים","all / לא צוין","האם יש למישהי נסיון עם הפסיכולוגית נורית פלזנטל ברגר?","m:1318","",""
"ד""ר עינת אבני","אבחון והערכה","פסיכולוגית מאבחנת / מאבחנת אוטיזם","לא מפורט / לא צוין","לא מפורט / לא צוין","פנתה אלי אמא לגבי חוות דעת על ד""ר עינת אבני לצורך אבחון אוטיזם ואבחנה מבדלת.","chunk_020:j18456","",""
"דיצה צחור","אבחון והערכה","מאבחנת / אבחון פסיכולוגי לאוטיזם","אסף הרופא / צריפין","ילדים","יש המלצה אבל לא בירושלים — אצל דיצה צחור באסף הרופא שהיא מעולה.","m:23481","",""
"מכון סול","אבחון והערכה","מכון אבחון פרטי / מכון אבחון ASD","ישראל (לא ירושלים / ייתכן שלוחה) / לא מפורט","ילדים ונוער / בוגרים (18+)","הורה רוצה לדעת האם מכון סול מומחים לאבחון ASD מעל גיל 18. האם הם מתמחים גם עם בנות?","chunk_012 m:42257","",""
"מכון פוירשטיין","אבחון והערכה","מכון אבחון מוכר / זוגיות ותמיכה חברתית","רחביה / ירושלים / ירושלים — בנייני וולפסון","כל הגילאים / בוגרים","בפויירשטיין יש להם תוכנית חזון לזוגיות לצמי""ד לרווקים, לזוגות, ולנשואים. התוכנית מצויינת!!! ממליצה מאד. מנסיון. לא יקר.","chunk_022:j:26163","",""
"אורי דאר","אבחון והערכה","פסיכולוג מאבחן","ירושלים","","מכירות פסיכולוג ירושלמי בשם אורי דאר? לאבחון אוטיזם. ממליצה מאד על אורי! חושבת שיש לו נסיון גם עם בנות.","m:23135, m:23140","",""
"אוריברסיטת אריאל — אבחון","אבחון והערכה","אבחון אוניברסיטאי","אריאל","","לכן רציתי אבחון חדש מאוניברסיטת אריאל אבל הם לא הסכימו.","m:28737","",""
